kind,nm_key,display,wb_display,supplier,month,vladimir_old_raw,vladimir_new_raw,delta_raw,planning_03,rounded_new_24,diff_03_minus_rounded
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-09,471.0,294.0,-177.0,480.0,312,168.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-05,412.0,118.0,-294.0,432.0,120,312.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-06,588.0,412.0,-176.0,624.0,432,192.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-07,824.0,588.0,-236.0,864.0,600,264.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-08,1176.0,824.0,-352.0,1200.0,840,360.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-09,1765.0,1176.0,-589.0,1776.0,1176,600.0
old_raw_ne_new_raw,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-05,118.0,59.0,-59.0,120.0,72,48.0
old_raw_ne_new_raw,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-06,141.0,118.0,-23.0,144.0,120,24.0
old_raw_ne_new_raw,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-07,176.0,141.0,-35.0,192.0,144,48.0
old_raw_ne_new_raw,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-08,200.0,176.0,-24.0,216.0,192,24.0
old_raw_ne_new_raw,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-09,353.0,200.0,-153.0,360.0,216,144.0
old_raw_ne_new_raw,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-05,118.0,59.0,-59.0,120.0,72,48.0
old_raw_ne_new_raw,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-06,141.0,118.0,-23.0,144.0,120,24.0
old_raw_ne_new_raw,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-07,176.0,141.0,-35.0,192.0,144,48.0
old_raw_ne_new_raw,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-08,200.0,176.0,-24.0,216.0,192,24.0
old_raw_ne_new_raw,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-09,353.0,200.0,-153.0,360.0,216,144.0
old_raw_ne_new_raw,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-05,118.0,59.0,-59.0,120.0,72,48.0
old_raw_ne_new_raw,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-06,141.0,118.0,-23.0,144.0,120,24.0
old_raw_ne_new_raw,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-07,176.0,141.0,-35.0,192.0,144,48.0
old_raw_ne_new_raw,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-08,200.0,176.0,-24.0,216.0,192,24.0
old_raw_ne_new_raw,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-09,353.0,200.0,-153.0,360.0,216,144.0
03_ne_round_new_24,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-05,,271.0,,312.0,288,24.0
03_ne_round_new_24,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-06,,294.0,,336.0,312,24.0
03_ne_round_new_24,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-07,,329.0,,360.0,336,24.0
03_ne_round_new_24,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-08,,353.0,,432.0,360,72.0
03_ne_round_new_24,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-09,,412.0,,480.0,432,48.0
03_ne_round_new_24,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-05,,176.0,,216.0,192,24.0
03_ne_round_new_24,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-06,,212.0,,252.0,216,36.0
03_ne_round_new_24,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-07,,235.0,,306.0,240,66.0
03_ne_round_new_24,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-08,,294.0,,342.0,312,30.0
03_ne_round_new_24,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-09,,329.0,,360.0,336,24.0
03_ne_round_new_24,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-05,,141.0,,192.0,144,48.0
03_ne_round_new_24,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-06,,176.0,,216.0,192,24.0
03_ne_round_new_24,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-07,,200.0,,240.0,216,24.0
03_ne_round_new_24,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-09,,235.0,,312.0,240,72.0
03_ne_round_new_24,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-05,,824.0,,648.0,840,-192.0
03_ne_round_new_24,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-06,,647.0,,712.0,648,64.0
03_ne_round_new_24,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-07,,706.0,,768.0,720,48.0
03_ne_round_new_24,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-08,,765.0,,824.0,768,56.0
03_ne_round_new_24,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-09,,824.0,,1064.0,840,224.0
03_ne_round_new_24,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-05,,12.0,,180.0,24,156.0
03_ne_round_new_24,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-06,,153.0,,180.0,168,12.0
03_ne_round_new_24,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-07,,165.0,,180.0,168,12.0
03_ne_round_new_24,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-08,,176.0,,324.0,192,132.0
03_ne_round_new_24,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-09,,294.0,,504.0,312,192.0
